Unic ID,@TG nick,Motion,API,Date,Time,API answer
8094796723,@romenkou,start,NONE,23.09.2026,02:31:21,NONE
8094796723,@romenkou,non-handle message,NONE,23.09.2026,02:31:25,NONE
8094796723,@romenkou,погода,NONE,23.09.2026,02:31:29,NONE
8094796723,@romenkou,погода,open-meteo,23.09.2026,02:31:37,Погода в <b>Минск</b>  ☁️ Пасмурно Температура: <b>10.0°C</b> Ощущается как: 8.1°C Влажность: 94% Ветер: 10.8 км/ч
8094796723,@romenkou,погода,open-meteo,23.09.2026,02:31:40,Погода в <b>Москва</b>  ☁️ Пасмурно Температура: <b>14.8°C</b> Ощущается как: 15.6°C Влажность: 96% Ветер: 4.0 км/ч
8094796723,@romenkou,погода,open-meteo,23.09.2026,02:31:43,Город «амумфы» не найден
8094796723,@romenkou,назад,NONE,23.09.2026,02:31:46,NONE
8094796723,@romenkou,котеки,thecatapi,23.09.2026,02:31:48,https://s3.us-west-2.amazonaws.com/cdn2.thecatapi.com/images/8cXEkQQwc.jpg
8094796723,@romenkou,котеки,thecatapi,23.09.2026,02:31:50,https://s3.us-west-2.amazonaws.com/cdn2.thecatapi.com/images/DbwiefiaY.png
8094796723,@romenkou,котеки,thecatapi,23.09.2026,02:31:51,https://s3.us-west-2.amazonaws.com/cdn2.thecatapi.com/images/YoFolZlv5.jpg
8094796723,@romenkou,смешнявка,rzhunemogu,23.09.2026,02:31:53,"Рабинович является в клуб конного спорта:  - Хотелось бы поездить на лошади. Можно у вас взять напрокат?  - Конечно. Вы какую лошадь предпочитаете, какой породы?  - Мне бы подлиннее.  - Зачем?  - Нас же пятеро... "
8094796723,@romenkou,смешнявка,rzhunemogu,23.09.2026,02:31:54,"Дама дает римскому нищему 10 лир и говорит ему:  - Вы могли бы и поблагодарить!  - Вы что не видите, что я глухонемой? И хотите, чтобы за 10 ли  произошло чудо?!"
8094796723,@romenkou,смешнявка,rzhunemogu,23.09.2026,02:31:55,"- Доктор, у меня кошка сильно царапается.  - Кошка красивая?  - Красавица!  - А что вы хотели? Стерва, вот и царапает. "
8094796723,@romenkou,конвертер валют,NONE,23.09.2026,02:31:58,NONE
8094796723,@romenkou,конвертер валют,exchangerate_api,23.09.2026,02:32:11,379.13 PLN
8094796723,@romenkou,конвертер валют,exchangerate_api,23.09.2026,02:32:18,эмммм
8094796723,@romenkou,конвертер валют,exchangerate_api,23.09.2026,02:32:26,ошибка
8094796723,@romenkou,назад,NONE,23.09.2026,02:32:35,NONE
